step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
1,TRANSFER,181.0,181.0,0.0,0.0,0.0,1
1,CASH_OUT,181.0,181.0,0.0,21182.0,0.0,1
1,TRANSFER,2806.0,2806.0,0.0,0.0,0.0,1
1,CASH_OUT,2806.0,2806.0,0.0,26202.0,0.0,1
1,TRANSFER,20128.0,20128.0,0.0,0.0,0.0,1
1,CASH_OUT,20128.0,20128.0,0.0,6268.0,12145.85,1
1,CASH_OUT,416001.33,0.0,0.0,102.0,9291619.62,1
1,TRANSFER,1277212.77,1277212.77,0.0,0.0,0.0,1
1,CASH_OUT,1277212.77,1277212.77,0.0,0.0,2444985.19,1
1,TRANSFER,35063.63,35063.63,0.0,0.0,0.0,1
1,CASH_OUT,35063.63,35063.63,0.0,31140.0,7550.03,1
1,TRANSFER,25071.46,25071.46,0.0,0.0,0.0,1
1,CASH_OUT,25071.46,25071.46,0.0,9083.76,34155.22,1
1,CASH_OUT,132842.64,4499.08,0.0,0.0,132842.64,1
1,TRANSFER,235238.66,235238.66,0.0,0.0,0.0,1
1,CASH_OUT,235238.66,235238.66,0.0,0.0,235238.66,1
2,TRANSFER,1096187.24,1096187.24,0.0,0.0,0.0,1
2,CASH_OUT,1096187.24,1096187.24,0.0,0.0,1096187.24,1
2,TRANSFER,963532.14,963532.14,0.0,0.0,0.0,1
2,CASH_OUT,963532.14,963532.14,0.0,132382.57,1095914.71,1
2,TRANSFER,14949.84,14949.84,0.0,0.0,0.0,1
2,CASH_OUT,14949.84,14949.84,0.0,18161.79,33111.63,1
2,TRANSFER,18627.02,18627.02,0.0,0.0,0.0,1
2,CASH_OUT,18627.02,18627.02,0.0,147251.58,165878.6,1
3,TRANSFER,10539.37,10539.37,0.0,0.0,0.0,1
3,CASH_OUT,10539.37,10539.37,0.0,0.0,10539.37,1
3,TRANSFER,22877.0,22877.0,0.0,0.0,0.0,1
3,CASH_OUT,22877.0,22877.0,0.0,0.0,22877.0,1
4,TRANSFER,10000000.0,12900000.0,2930418.44,0.0,0.0,1
4,CASH_OUT,10000000.0,10000000.0,0.0,0.0,9941904.21,1
4,TRANSFER,2930418.44,2930418.44,0.0,0.0,0.0,1
4,CASH_OUT,2930418.44,2930418.44,0.0,3616012.1,6963508.84,1
4,TRANSFER,169941.73,169941.73,0.0,0.0,0.0,1
4,CASH_OUT,169941.73,169941.73,0.0,0.0,169941.73,1
4,TRANSFER,13707.11,13707.11,0.0,0.0,0.0,1
4,CASH_OUT,13707.11,13707.11,0.0,0.0,13707.11,1
4,TRANSFER,86070.17,86070.17,0.0,0.0,0.0,1
4,CASH_OUT,86070.17,86070.17,0.0,0.0,86070.17,1
5,TRANSFER,120074.73,120074.73,0.0,0.0,0.0,1
5,CASH_OUT,120074.73,120074.73,0.0,0.0,120074.73,1
5,TRANSFER,60726.57,60726.57,0.0,0.0,0.0,1
5,CASH_OUT,60726.57,60726.57,0.0,13000000.0,13100000.0,1
5,TRANSFER,10119.47,10119.47,0.0,0.0,0.0,1
5,CASH_OUT,10119.47,10119.47,0.0,0.0,10119.47,1
6,TRANSFER,33332.86,33332.86,0.0,0.0,0.0,1
6,CASH_OUT,33332.86,33332.86,0.0,31002.0,0.0,1
6,TRANSFER,25975.86,25975.86,0.0,0.0,0.0,1
6,CASH_OUT,25975.86,25975.86,0.0,98152.0,28041.27,1
6,TRANSFER,26768.5,26768.5,0.0,0.0,0.0,1
6,CASH_OUT,26768.5,26768.5,0.0,101976.0,128744.5,1
6,TRANSFER,30521.02,30521.02,0.0,0.0,0.0,1
6,CASH_OUT,30521.02,30521.02,0.0,0.0,30521.02,1
6,TRANSFER,216422.0,216422.0,0.0,0.0,0.0,1
6,CASH_OUT,216422.0,216422.0,0.0,10097.0,48630.5,1
6,TRANSFER,17320.91,17320.91,0.0,0.0,0.0,1
6,CASH_OUT,17320.91,17320.91,0.0,6244.44,0.0,1
6,TRANSFER,17246.0,17246.0,0.0,0.0,101717.84,1
6,CASH_OUT,17246.0,17246.0,0.0,0.0,17246.0,1
6,TRANSFER,10565.0,10565.0,0.0,0.0,0.0,1
6,CASH_OUT,10565.0,10565.0,0.0,36275.0,24380.72,1
6,TRANSFER,10224.0,10224.0,0.0,0.0,0.0,1
6,CASH_OUT,10224.0,10224.0,0.0,0.0,10224.0,1
6,TRANSFER,85354.69,85354.69,0.0,0.0,0.0,1
6,CASH_OUT,85354.69,85354.69,0.0,11170.0,10612.55,1
6,TRANSFER,13704.0,13704.0,0.0,0.0,1658746.09,1
6,CASH_OUT,13704.0,13704.0,0.0,3382.84,143675.35,1
7,TRANSFER,262434.54,262434.54,0.0,0.0,0.0,1
7,CASH_OUT,262434.54,262434.54,0.0,19525.79,438233.86,1
7,TRANSFER,21729.0,21729.0,0.0,0.0,0.0,1
7,CASH_OUT,21729.0,21729.0,0.0,27335.0,0.0,1
7,TRANSFER,5460002.91,5460002.91,0.0,0.0,0.0,1
7,CASH_OUT,5460002.91,5460002.91,0.0,0.0,9281535.44,1
7,TRANSFER,164.0,164.0,0.0,0.0,0.0,1
7,CASH_OUT,164.0,164.0,0.0,4068.0,0.0,1
7,TRANSFER,21571.0,21571.0,0.0,0.0,0.0,1
7,CASH_OUT,21571.0,21571.0,0.0,30797.41,71140.3,1
7,TRANSFER,441445.58,441445.58,0.0,0.0,0.0,1
7,CASH_OUT,441445.58,441445.58,0.0,98993.5,0.0,1
8,CASH_OUT,181728.11,0.0,0.0,11397.0,184477.77,1
8,TRANSFER,222.0,222.0,0.0,0.0,267095.19,1
8,CASH_OUT,222.0,222.0,0.0,24708.0,171647.35,1
8,TRANSFER,1996.17,1996.17,0.0,0.0,0.0,1
8,CASH_OUT,1996.17,1996.17,0.0,2559.74,4555.92,1
8,TRANSFER,1078013.76,0.0,0.0,0.0,970749.68,1
8,TRANSFER,89631.24,89631.24,0.0,0.0,0.0,1
8,CASH_OUT,89631.24,89631.24,0.0,21175.0,0.0,1
8,TRANSFER,29707.86,29707.86,0.0,0.0,0.0,1
8,CASH_OUT,29707.86,29707.86,0.0,10935.0,0.0,1
8,TRANSFER,43092.0,43092.0,0.0,0.0,0.0,1
8,CASH_OUT,43092.0,43092.0,0.0,660641.74,1158662.9,1
9,TRANSFER,556218.01,556218.01,0.0,0.0,0.0,1
9,CASH_OUT,556218.01,556218.01,0.0,0.0,582265.81,1
9,TRANSFER,11308.0,11308.0,0.0,0.0,0.0,1
9,CASH_OUT,11308.0,11308.0,0.0,0.0,302550.56,1
9,TRANSFER,350705.74,350705.74,0.0,0.0,1184633.07,1
9,CASH_OUT,350705.74,350705.74,0.0,894760.68,1794033.65,1
9,TRANSFER,2539898.07,2539898.07,0.0,0.0,261290.69,1
9,CASH_OUT,2539898.07,2539898.07,0.0,968.0,1842864.22,1
9,TRANSFER,361559.69,361559.69,0.0,0.0,141302.12,1
9,CASH_OUT,361559.69,361559.69,0.0,504667.31,189441.24,1
9,TRANSFER,1154353.99,1154353.99,0.0,0.0,10872.9,1
9,CASH_OUT,1154353.99,1154353.99,0.0,162222.0,1965587.6,1
9,TRANSFER,21922.0,21922.0,0.0,0.0,0.0,1
9,CASH_OUT,21922.0,21922.0,0.0,1929861.61,2046918.8,1
9,TRANSFER,994453.2,1437370.87,442917.67,194812.76,665743.67,1
9,TRANSFER,1055.0,1055.0,0.0,0.0,0.0,1
9,CASH_OUT,1055.0,1055.0,0.0,75179.0,0.0,1
9,TRANSFER,244068.01,244068.01,0.0,0.0,0.0,1
9,CASH_OUT,244068.01,244068.01,0.0,0.0,338538.16,1
10,TRANSFER,59835.0,59835.0,0.0,0.0,0.0,1
10,CASH_OUT,59835.0,59835.0,0.0,255480.76,315315.76,1
10,CASH_OUT,277970.88,0.0,0.0,0.0,277970.88,1
10,TRANSFER,93810.76,93810.76,0.0,0.0,0.0,1
10,CASH_OUT,93810.76,93810.76,0.0,4096048.05,4189858.81,1
10,TRANSFER,503405.88,503405.88,0.0,0.0,0.0,1
10,CASH_OUT,503405.88,503405.88,0.0,29669.0,533074.88,1
10,TRANSFER,2662734.59,2662734.59,0.0,0.0,0.0,1
10,CASH_OUT,2662734.59,2662734.59,0.0,14165.62,2930405.33,1
10,TRANSFER,9217.19,9217.19,0.0,0.0,96795.6,1
10,CASH_OUT,9217.19,9217.19,0.0,0.0,9217.19,1
11,TRANSFER,2100.0,2100.0,0.0,0.0,0.0,1
11,CASH_OUT,2100.0,2100.0,0.0,112512.48,114612.48,1
11,TRANSFER,1933920.8,0.0,0.0,1283762.85,3217683.65,1
11,TRANSFER,313418.28,313418.28,0.0,0.0,97980.88,1
11,CASH_OUT,313418.28,313418.28,0.0,688164.64,1029922.17,1
11,TRANSFER,12461.0,12461.0,0.0,0.0,0.0,1
11,CASH_OUT,12461.0,12461.0,0.0,27964.11,40425.11,1
12,TRANSFER,19472.0,19472.0,0.0,0.0,0.0,1
12,CASH_OUT,19472.0,19472.0,0.0,0.0,19472.0,1
12,TRANSFER,3964129.99,3964129.99,0.0,0.0,0.0,1
12,CASH_OUT,3964129.99,3964129.99,0.0,1912955.54,5811064.07,1
12,TRANSFER,1041647.06,1041647.06,0.0,0.0,0.0,1
12,CASH_OUT,1041647.06,1041647.06,0.0,52730.33,1094377.39,1
12,TRANSFER,2066467.64,2066467.64,0.0,0.0,81209.81,1
12,CASH_OUT,2066467.64,2066467.64,0.0,194510.24,3098566.67,1
12,CASH_OUT,149668.66,0.0,0.0,44170.11,193838.76,1
12,TRANSFER,2007.0,2007.0,0.0,0.0,0.0,1
12,CASH_OUT,2007.0,2007.0,0.0,129917.8,250910.76,1
12,CASH_OUT,222048.71,0.0,0.0,2979.0,225027.71,1
12,TRANSFER,8677.0,8677.0,0.0,0.0,0.0,1
12,CASH_OUT,8677.0,8677.0,0.0,225127.62,233804.62,1
13,TRANSFER,408.0,408.0,0.0,0.0,226013.18,1
13,CASH_OUT,408.0,408.0,0.0,898297.85,1075854.14,1
13,TRANSFER,48375.02,48375.02,0.0,0.0,0.0,1
13,CASH_OUT,48375.02,48375.02,0.0,374803.26,658520.33,1
13,TRANSFER,4022667.54,4022667.54,0.0,0.0,0.0,1
13,CASH_OUT,4022667.54,4022667.54,0.0,80136.56,4057191.21,1
13,CASH_OUT,454859.39,0.0,0.0,0.0,454859.39,1
13,TRANSFER,1161495.82,1161495.82,0.0,0.0,0.0,1
13,CASH_OUT,1161495.82,1161495.82,0.0,319036.02,1565123.81,1
13,TRANSFER,2686564.04,2686564.04,0.0,0.0,0.0,1
13,CASH_OUT,2686564.04,2686564.04,0.0,438199.37,3124763.41,1
13,TRANSFER,6188514.81,6188514.81,0.0,0.0,0.0,1
13,CASH_OUT,6188514.81,6188514.81,0.0,381607.21,6424681.56,1
13,TRANSFER,123194.95,79466.45,0.0,535933.16,263908.84,1
14,TRANSFER,2093951.47,2093951.47,0.0,0.0,0.0,1
14,CASH_OUT,2093951.47,2093951.47,0.0,0.0,2093951.47,1
14,TRANSFER,143032.0,143032.0,0.0,0.0,0.0,1
14,CASH_OUT,143032.0,143032.0,0.0,814654.61,1020323.73,1
14,TRANSFER,2927005.15,2927005.15,0.0,0.0,0.0,1
14,CASH_OUT,2927005.15,2927005.15,0.0,0.0,2994420.07,1
14,TRANSFER,1832319.42,1832319.42,0.0,0.0,0.0,1
14,CASH_OUT,1832319.42,1832319.42,0.0,43962.42,2440139.69,1
14,TRANSFER,1561891.66,1561891.66,0.0,0.0,0.0,1
14,CASH_OUT,1561891.66,1561891.66,0.0,3471928.95,6443177.56,1
14,TRANSFER,65488.05,65488.05,0.0,0.0,0.0,1
14,CASH_OUT,65488.05,65488.05,0.0,0.0,65488.05,1
15,TRANSFER,696763.08,696763.08,0.0,0.0,69861.26,1
15,CASH_OUT,696763.08,696763.08,0.0,366114.58,1347073.81,1
15,TRANSFER,119.0,119.0,0.0,0.0,0.0,1
15,CASH_OUT,119.0,119.0,0.0,4844060.13,4844179.13,1
15,TRANSFER,128473.62,128473.62,0.0,0.0,0.0,1
15,CASH_OUT,128473.62,128473.62,0.0,0.0,128473.62,1
15,TRANSFER,248056.41,248056.41,0.0,0.0,0.0,1
15,CASH_OUT,248056.41,248056.41,0.0,0.0,201427.47,1
15,TRANSFER,164500.81,164500.81,0.0,0.0,0.0,1
15,CASH_OUT,164500.81,164500.81,0.0,685636.21,850137.02,1
15,TRANSFER,212089.74,212089.74,0.0,0.0,0.0,1
15,CASH_OUT,212089.74,212089.74,0.0,257758.48,469848.23,1
15,CASH_OUT,95428.32,0.0,0.0,0.0,95428.32,1
15,CASH_OUT,39713.28,0.0,0.0,1274866.51,1314579.79,1
15,TRANSFER,170.0,170.0,0.0,0.0,0.0,1
15,CASH_OUT,170.0,170.0,0.0,413421.36,345764.15,1
15,TRANSFER,747282.4,747282.4,0.0,0.0,0.0,1
15,CASH_OUT,747282.4,747282.4,0.0,5340917.82,6088200.22,1
15,TRANSFER,59385.67,59385.67,0.0,0.0,0.0,1
15,CASH_OUT,59385.67,59385.67,0.0,74371.0,133756.67,1
16,TRANSFER,2198224.71,2198224.71,0.0,0.0,0.0,1
16,CASH_OUT,2198224.71,2198224.71,0.0,0.0,2198224.71,1
16,TRANSFER,828720.89,828720.89,0.0,0.0,0.0,1
16,CASH_OUT,828720.89,828720.89,0.0,9142622.59,10200000.0,1
16,TRANSFER,2701905.3,2701905.3,0.0,0.0,0.0,1
16,CASH_OUT,2701905.3,2701905.3,0.0,57418.0,2759323.3,1
16,TRANSFER,31074.0,31074.0,0.0,0.0,0.0,1
16,CASH_OUT,31074.0,31074.0,0.0,0.0,31074.0,1
16,TRANSFER,121626.82,121626.82,0.0,0.0,0.0,1
16,CASH_OUT,121626.82,121626.82,0.0,653744.34,775371.16,1
17,TRANSFER,1639676.27,1639676.27,0.0,0.0,0.0,1
17,CASH_OUT,1639676.27,1639676.27,0.0,448954.92,2198318.48,1
17,TRANSFER,305627.0,305627.0,0.0,0.0,0.0,1
17,CASH_OUT,305627.0,305627.0,0.0,7699847.16,8005474.16,1
17,TRANSFER,195351.76,195351.76,0.0,0.0,0.0,1
17,CASH_OUT,195351.76,195351.76,0.0,156408.25,265841.0,1
17,CASH_OUT,42062.82,340830.43,298767.61,398931.35,678419.64,1
18,TRANSFER,295664.18,295664.18,0.0,0.0,0.0,1
18,CASH_OUT,295664.18,295664.18,0.0,10200000.0,10500000.0,1
18,TRANSFER,307739.18,307739.18,0.0,0.0,0.0,1
18,CASH_OUT,307739.18,307739.18,0.0,25326.0,838246.41,1
18,CASH_OUT,314251.58,75956.47,0.0,7962205.25,8276456.84,1
18,TRANSFER,1102133.9,1102133.9,0.0,0.0,746575.95,1
18,CASH_OUT,1102133.9,1102133.9,0.0,306228.56,1408362.45,1
18,TRANSFER,1144089.37,1144089.37,0.0,0.0,0.0,1
18,CASH_OUT,1144089.37,1144089.37,0.0,2502877.26,3879210.29,1
18,TRANSFER,1974352.3,1974352.3,0.0,0.0,0.0,1
18,CASH_OUT,1974352.3,1974352.3,0.0,15531.71,1989884.01,1
18,TRANSFER,11481.0,11481.0,0.0,0.0,263492.28,1
18,CASH_OUT,11481.0,11481.0,0.0,761417.61,1765080.5,1
18,CASH_OUT,508782.2,0.0,0.0,1082007.65,1590789.85,1
18,TRANSFER,9131.0,9131.0,0.0,0.0,0.0,1
18,CASH_OUT,9131.0,9131.0,0.0,133084.02,142215.02,1
19,TRANSFER,143660.11,143660.11,0.0,0.0,0.0,1
19,CASH_OUT,143660.11,143660.11,0.0,0.0,143660.11,1
19,TRANSFER,3477438.49,3477438.49,0.0,0.0,0.0,1
19,CASH_OUT,3477438.49,3477438.49,0.0,0.0,3477438.49,1
19,CASH_OUT,122101.57,0.0,0.0,0.0,639940.2,1
19,TRANSFER,161939.36,161939.36,0.0,0.0,0.0,1
19,CASH_OUT,161939.36,161939.36,0.0,628935.02,851972.34,1
19,TRANSFER,10000000.0,11900000.0,1861008.32,0.0,0.0,1
19,CASH_OUT,10000000.0,10000000.0,0.0,504326.62,10300000.0,1
19,TRANSFER,1861008.32,1861008.32,0.0,0.0,0.0,1
19,CASH_OUT,1861008.32,1861008.32,0.0,0.0,1789942.62,1
20,TRANSFER,16614.82,16614.82,0.0,0.0,0.0,1
20,CASH_OUT,16614.82,16614.82,0.0,904409.29,921024.11,1
20,TRANSFER,448025.06,448025.06,0.0,0.0,0.0,1
20,CASH_OUT,448025.06,448025.06,0.0,71679.93,519704.99,1
21,TRANSFER,785323.0,785323.0,0.0,0.0,0.0,1
21,CASH_OUT,785323.0,785323.0,0.0,803839.25,1720783.92,1
21,TRANSFER,158299.34,158299.34,0.0,0.0,0.0,1
21,CASH_OUT,158299.34,158299.34,0.0,36152.54,271369.74,1
21,CASH_OUT,23292.3,0.0,0.0,392364.62,415656.92,1
22,TRANSFER,346704.55,346704.55,0.0,0.0,0.0,1
22,CASH_OUT,346704.55,346704.55,0.0,513994.79,860699.34,1
22,TRANSFER,461509.86,461509.86,0.0,0.0,0.0,1
22,CASH_OUT,461509.86,461509.86,0.0,302583.81,764093.67,1
22,TRANSFER,37100.29,37100.29,0.0,0.0,0.0,1
22,CASH_OUT,37100.29,37100.29,0.0,433212.41,470312.7,1
22,TRANSFER,235512.2,235512.2,0.0,0.0,0.0,1
22,CASH_OUT,235512.2,235512.2,0.0,8490637.21,9272647.09,1
22,TRANSFER,2068118.36,2068118.36,0.0,0.0,0.0,1
22,CASH_OUT,2068118.36,2068118.36,0.0,3054285.45,5122403.81,1
22,TRANSFER,74804.24,74804.24,0.0,0.0,0.0,1
22,CASH_OUT,74804.24,74804.24,0.0,0.0,74804.24,1
22,TRANSFER,489767.32,489767.32,0.0,0.0,0.0,1
